index,id,menuCommandString,menu_en,menu_ja,extendscript,applescript,jxa,minVersion,maxVersion
438,menuCommandString_318,Live PSAdapter_plugin_Ct,Effect > Artistic > Cutout…,効果 > アーティスティック > カットアウト...,app.executeMenuCommand('Live PSAdapter_plugin_Ct ');,"execute menu command menu command string ""Live PSAdapter_plugin_Ct """,app.executeMenuCommand({menuCommandString: 'Live PSAdapter_plugin_Ct '});,16,99
439,menuCommandString_319,Live PSAdapter_plugin_Spng,Effect > Artistic > Sponge…,効果 > アーティスティック > スポンジ...,app.executeMenuCommand('Live PSAdapter_plugin_Spng');,"execute menu command menu command string ""Live PSAdapter_plugin_Spng""",app.executeMenuCommand({menuCommandString: 'Live PSAdapter_plugin_Spng'});,16,99
440,menuCommandString_320,Live PSAdapter_plugin_DryB,Effect > Artistic > Dry Brush…,効果 > アーティスティック > ドライブラシ...,app.executeMenuCommand('Live PSAdapter_plugin_DryB');,"execute menu command menu command string ""Live PSAdapter_plugin_DryB""",app.executeMenuCommand({menuCommandString: 'Live PSAdapter_plugin_DryB'});,16,99
441,menuCommandString_321,Live PSAdapter_plugin_NGlw,Effect > Artistic > Neon Glow…,効果 > アーティスティック > ネオン光彩...,app.executeMenuCommand('Live PSAdapter_plugin_NGlw');,"execute menu command menu command string ""Live PSAdapter_plugin_NGlw""",app.executeMenuCommand({menuCommandString: 'Live PSAdapter_plugin_NGlw'});,16,99
442,menuCommandString_322,Live PSAdapter_plugin_PltK,Effect > Artistic > Palette Knife…,効果 > アーティスティック > パレットナイフ...,app.executeMenuCommand('Live PSAdapter_plugin_PltK');,"execute menu command menu command string ""Live PSAdapter_plugin_PltK""",app.executeMenuCommand({menuCommandString: 'Live PSAdapter_plugin_PltK'});,16,99
443,menuCommandString_323,Live PSAdapter_plugin_Frsc,Effect > Artistic > Fresco…,効果 > アーティスティック > フレスコ...,app.executeMenuCommand('Live PSAdapter_plugin_Frsc');,"execute menu command menu command string ""Live PSAdapter_plugin_Frsc""",app.executeMenuCommand({menuCommandString: 'Live PSAdapter_plugin_Frsc'});,16,99
444,menuCommandString_324,Live PSAdapter_plugin_PlsW,Effect > Artistic > Plastic Wrap…,効果 > アーティスティック > ラップ...,app.executeMenuCommand('Live PSAdapter_plugin_PlsW');,"execute menu command menu command string ""Live PSAdapter_plugin_PlsW""",app.executeMenuCommand({menuCommandString: 'Live PSAdapter_plugin_PlsW'});,16,99
445,menuCommandString_325,Live PSAdapter_plugin_PntD,Effect > Artistic > Paint Daubs…,効果 > アーティスティック > 塗料...,app.executeMenuCommand('Live PSAdapter_plugin_PntD');,"execute menu command menu command string ""Live PSAdapter_plugin_PntD""",app.executeMenuCommand({menuCommandString: 'Live PSAdapter_plugin_PntD'});,16,99
446,menuCommandString_326,Live PSAdapter_plugin_Wtrc,Effect > Artistic > Watercolor…,効果 > アーティスティック > 水彩画...,app.executeMenuCommand('Live PSAdapter_plugin_Wtrc');,"execute menu command menu command string ""Live PSAdapter_plugin_Wtrc""",app.executeMenuCommand({menuCommandString: 'Live PSAdapter_plugin_Wtrc'});,16,99
447,menuCommandString_327,Live PSAdapter_plugin_FlmG,Effect > Artistic > Film Grain…,効果 > アーティスティック > 粒状フィルム...,app.executeMenuCommand('Live PSAdapter_plugin_FlmG');,"execute menu command menu command string ""Live PSAdapter_plugin_FlmG""",app.executeMenuCommand({menuCommandString: 'Live PSAdapter_plugin_FlmG'});,16,99
448,menuCommandString_328,Live PSAdapter_plugin_RghP,Effect > Artistic > Rough Pastels…,効果 > アーティスティック > 粗いパステル画...,app.executeMenuCommand('Live PSAdapter_plugin_RghP');,"execute menu command menu command string ""Live PSAdapter_plugin_RghP""",app.executeMenuCommand({menuCommandString: 'Live PSAdapter_plugin_RghP'});,16,99
449,menuCommandString_329,Live PSAdapter_plugin_Undr,Effect > Artistic > Underpainting…,効果 > アーティスティック > 粗描き...,app.executeMenuCommand('Live PSAdapter_plugin_Undr');,"execute menu command menu command string ""Live PSAdapter_plugin_Undr""",app.executeMenuCommand({menuCommandString: 'Live PSAdapter_plugin_Undr'});,16,99
450,menuCommandString_330,Live PSAdapter_plugin_ClrP,Effect > Artistic > Colored Pencil…,効果 > アーティスティック > 色鉛筆...,app.executeMenuCommand('Live PSAdapter_plugin_ClrP');,"execute menu command menu command string ""Live PSAdapter_plugin_ClrP""",app.executeMenuCommand({menuCommandString: 'Live PSAdapter_plugin_ClrP'});,16,99
451,menuCommandString_331,Live PSAdapter_plugin_TrnE,Effect > Sketch > Torn Edges…,効果 > スケッチ > ぎざぎざのエッジ...,app.executeMenuCommand('Live PSAdapter_plugin_TrnE');,"execute menu command menu command string ""Live PSAdapter_plugin_TrnE""",app.executeMenuCommand({menuCommandString: 'Live PSAdapter_plugin_TrnE'});,16,99
452,menuCommandString_332,Live PSAdapter_plugin_Rtcl,Effect > Sketch > Reticulation…,効果 > スケッチ > ちりめんじわ...,app.executeMenuCommand('Live PSAdapter_plugin_Rtcl');,"execute menu command menu command string ""Live PSAdapter_plugin_Rtcl""",app.executeMenuCommand({menuCommandString: 'Live PSAdapter_plugin_Rtcl'});,16,99
453,menuCommandString_333,Live PSAdapter_plugin_WtrP,Effect > Sketch > Water Paper…,効果 > スケッチ > ウォーターペーパー...,app.executeMenuCommand('Live PSAdapter_plugin_WtrP');,"execute menu command menu command string ""Live PSAdapter_plugin_WtrP""",app.executeMenuCommand({menuCommandString: 'Live PSAdapter_plugin_WtrP'});,16,99
454,menuCommandString_334,Live PSAdapter_plugin_CntC,Effect > Sketch > Conté Crayon…,効果 > スケッチ > クレヨンのコンテ画...,app.executeMenuCommand('Live PSAdapter_plugin_CntC');,"execute menu command menu command string ""Live PSAdapter_plugin_CntC""",app.executeMenuCommand({menuCommandString: 'Live PSAdapter_plugin_CntC'});,16,99
455,menuCommandString_335,Live PSAdapter_plugin_Chrm,Effect > Sketch > Chrome…,効果 > スケッチ > クロム...,app.executeMenuCommand('Live PSAdapter_plugin_Chrm');,"execute menu command menu command string ""Live PSAdapter_plugin_Chrm""",app.executeMenuCommand({menuCommandString: 'Live PSAdapter_plugin_Chrm'});,16,99
456,menuCommandString_336,Live PSAdapter_plugin_GraP,Effect > Sketch > Graphic Pen…,効果 > スケッチ > グラフィックペン...,app.executeMenuCommand('Live PSAdapter_plugin_GraP');,"execute menu command menu command string ""Live PSAdapter_plugin_GraP""",app.executeMenuCommand({menuCommandString: 'Live PSAdapter_plugin_GraP'});,16,99
457,menuCommandString_337,Live PSAdapter_plugin_Phtc,Effect > Sketch > Photocopy…,効果 > スケッチ > コピー...,app.executeMenuCommand('Live PSAdapter_plugin_Phtc');,"execute menu command menu command string ""Live PSAdapter_plugin_Phtc""",app.executeMenuCommand({menuCommandString: 'Live PSAdapter_plugin_Phtc'});,16,99
